series_id,window_size,n_windows,series_length,LSTM_mae,LSTM_rmse,LSTM_valid_predictions,Transformer_mae,Transformer_rmse,Transformer_valid_predictions,dataset,evaluation_method,dataset_type
trend_seasonal_0,53,10,160,2.025279348255123,2.1567511533080905,10,1.382266011914011,1.6590755211565045,10,trend_seasonal,moving_window,synthetic
trend_seasonal_1,53,10,160,1.6936366359685764,2.1782412834060527,10,1.2467091630572837,1.5568039445159618,10,trend_seasonal,moving_window,synthetic
trend_seasonal_2,53,10,160,1.7282926728641286,2.1428614500775574,10,1.2815059101548711,1.607654222008551,10,trend_seasonal,moving_window,synthetic
multi_seasonal_0,80,10,240,0.7478490251887777,0.8528518033625517,10,1.14687447616557,1.3266250956264884,10,multi_seasonal,moving_window,synthetic
multi_seasonal_1,80,10,240,0.6167689074040815,0.7433088270955935,10,0.8154524427525779,1.1112960544025092,10,multi_seasonal,moving_window,synthetic
multi_seasonal_2,80,10,240,0.9133745906887946,0.9823880209054395,10,1.0157755655354137,1.1352769735480757,10,multi_seasonal,moving_window,synthetic
random_walk_0,40,10,120,0.609484819996938,0.8322200439563956,10,0.8278410463248438,1.127184234172639,10,random_walk,moving_window,synthetic
random_walk_1,40,10,120,1.0837131518416114,1.2734012687996934,10,1.0184710994208772,1.3362895007312157,10,random_walk,moving_window,synthetic
random_walk_2,40,10,120,1.4258832887680786,1.6071726321638042,10,1.237985479223146,1.3743924106901064,10,random_walk,moving_window,synthetic
retail_sales_0,100,10,1168,18.719799616526593,23.095066828787935,10,13.845996387441525,17.275447157743592,10,retail_sales,moving_window,real_world
retail_sales_1,100,10,1117,11.05840939442152,12.483744204509103,10,11.556697288533268,13.767539666549396,10,retail_sales,moving_window,real_world
retail_sales_2,100,10,1168,17.60687605756784,19.636578343900435,10,14.542865224662657,17.507622801379757,10,retail_sales,moving_window,real_world
