series_id,window_size,n_windows,series_length,ARIMA_mae,ARIMA_rmse,ARIMA_valid_predictions,Prophet_mae,Prophet_rmse,Prophet_valid_predictions,Linear_mae,Linear_rmse,Linear_valid_predictions,XGBoost_mae,XGBoost_rmse,XGBoost_valid_predictions,dataset,evaluation_method,dataset_type
trend_seasonal_0,53,20,160,1.3386308538809453,1.5993968851847984,20,3.8514689415313677,4.330742528511272,20,4.0277421298307035,4.529801233564316,20,1.7753219881626847,2.185544456499669,20,trend_seasonal,moving_window,synthetic
trend_seasonal_1,53,20,160,2.0136404370255816,2.286374626525082,20,3.5387853427075853,4.217965413148268,20,3.9647927000180423,4.493087803692579,20,1.8306570658285886,2.1656781500918973,20,trend_seasonal,moving_window,synthetic
trend_seasonal_2,53,20,160,1.5803040782354572,2.0597708058560413,20,3.9225089873712413,4.577038937291028,20,4.09588872888847,4.604710885172622,20,1.5791476328960037,2.0429288238227685,20,trend_seasonal,moving_window,synthetic
trend_seasonal_3,53,20,160,1.791923353165739,2.071944656657142,20,3.405278016975737,4.285040397134236,20,3.7326930148530217,4.443758048398591,20,1.6547316998840345,2.044839414148722,20,trend_seasonal,moving_window,synthetic
trend_seasonal_4,53,20,160,1.5298883992529853,1.9990159561091765,20,3.8557856923531353,4.449018209010128,20,3.9145802229331226,4.636541518321562,20,1.8932789575191138,2.279202099168895,20,trend_seasonal,moving_window,synthetic
multi_seasonal_0,80,20,240,0.8755006539343725,1.0413439997172393,20,1.8527327829140567,2.299195954801874,20,2.08917823367874,2.589163486110034,20,1.069718780909613,1.3003520816100351,20,multi_seasonal,moving_window,synthetic
multi_seasonal_1,80,20,240,0.8655287700817066,1.1264090158055275,20,2.2444759838694437,2.5531517073149868,20,2.3445547458362452,2.8508582467517516,20,1.0322251407006777,1.363948131669227,20,multi_seasonal,moving_window,synthetic
multi_seasonal_2,80,20,240,0.771639895782204,0.8890895411006826,20,2.0089213772809345,2.377788005273524,20,2.21923841787846,2.6403564713619327,20,0.9546562335932354,1.1719085937204472,20,multi_seasonal,moving_window,synthetic
multi_seasonal_3,80,20,240,0.9066576316877188,1.2669728675599727,20,2.0935591410929595,2.4773429380148935,20,2.4006862689934323,2.6845525865627002,20,1.0969204651108906,1.3550143697826296,20,multi_seasonal,moving_window,synthetic
multi_seasonal_4,80,20,240,0.8078579977720128,1.0026580216114238,20,2.168299401951311,2.6420836628079547,20,2.4506308495563323,2.9248798762075627,20,1.2370938787999233,1.478317059233641,20,multi_seasonal,moving_window,synthetic
random_walk_0,40,20,120,0.6930589165711549,0.8547265267257359,20,1.0680684863993428,1.3978673801168617,20,0.9860369452359616,1.2971694883318463,20,1.1667370176415046,1.3756174736328233,20,random_walk,moving_window,synthetic
random_walk_1,40,20,120,0.9624398094751692,1.1857562869553844,20,1.3091321167227865,1.5591687592724253,20,2.4496287476875462,2.8882982707561027,20,2.7505669179467573,3.5577439880313566,20,random_walk,moving_window,synthetic
random_walk_2,40,20,120,0.9952568735355998,1.161000514506573,20,1.2605900536982735,1.5456752623423826,20,1.6256201779841284,2.0411300886913146,20,3.1139416301260576,3.486312300242912,20,random_walk,moving_window,synthetic
random_walk_3,40,20,120,0.9482442986342206,1.1546804377060311,20,1.0722396067721836,1.2014686411133808,20,0.8856696330688884,1.0040160335053139,20,1.87147268161986,2.0733004902734877,20,random_walk,moving_window,synthetic
random_walk_4,40,20,120,0.8977827063311883,1.1363670444477096,20,1.4565187546991702,1.728590142618821,20,1.2078011584547055,1.607954733195397,20,2.277780290850858,2.6693444396416774,20,random_walk,moving_window,synthetic
retail_sales_0,100,20,1168,15.528515689111526,18.42235728809743,20,13.442132102372096,17.163073152672016,20,14.15979841769493,20.144204075262454,20,15.695816518635842,19.055489364670024,20,retail_sales,moving_window,real_world
retail_sales_1,100,20,1117,10.20574079822852,12.920447031828333,20,11.021267880222831,14.179864471087438,20,14.847285170545579,19.285442045245794,20,11.046043005799056,13.641068767360752,20,retail_sales,moving_window,real_world
retail_sales_2,100,20,1168,11.334271555741026,13.765610128895345,20,15.719790956293306,18.87469095868078,20,21.326027982525027,25.556218658577784,20,11.90125774726009,15.377278860337205,20,retail_sales,moving_window,real_world
retail_sales_3,100,20,1110,16.119267810907818,20.695756956363255,20,11.761363235719681,14.868593186149509,20,19.85753734781385,25.584058470487417,20,16.445899603450716,20.013273154813167,20,retail_sales,moving_window,real_world
retail_sales_4,100,20,1168,12.035655019682903,15.407054850202849,20,22.393202368697377,26.751426706245912,20,29.041726101491395,34.93109043478762,20,16.292517620746136,22.18263129410216,20,retail_sales,moving_window,real_world
energy_consumption_0,100,20,63092,2.8319474658782324,3.6237786265754672,20,213.2538332386004,234.27775676256047,20,213.89485879260891,235.33033394889526,20,53.22202993441156,74.54665949979612,20,energy_consumption,moving_window,real_world
energy_consumption_1,100,20,63092,2.6535696686343213,3.535732704184122,20,217.59614014815006,240.44655260204814,20,217.01313361070964,239.25458950812805,20,52.25506636737034,75.62382363909398,20,energy_consumption,moving_window,real_world
energy_consumption_2,100,20,63092,3.083818070051552,3.788802632363996,20,217.5415802877338,239.64233197722723,20,215.11182870986536,237.51647045290392,20,56.26164745726876,81.21647882936338,20,energy_consumption,moving_window,real_world
